Year,Round,EventName,DriverNumber,DriverAbbr,TeamName,GridPosition,Position,Points,Status,ClassifiedLaps,TotalRaceLaps
2018,13,Belgian Grand Prix,20,MAG,Haas F1 Team,9.0,8.0,4.0,Finished,44.0,44
2018,13,Belgian Grand Prix,10,GAS,Toro Rosso,10.0,9.0,2.0,Finished,44.0,44
2018,13,Belgian Grand Prix,9,ERI,Sauber,13.0,10.0,1.0,+1 Lap,43.0,44
2018,13,Belgian Grand Prix,55,SAI,Renault,14.0,11.0,0.0,+1 Lap,43.0,44
2018,13,Belgian Grand Prix,35,SIR,Williams,16.0,12.0,0.0,+1 Lap,43.0,44
2018,13,Belgian Grand Prix,18,STR,Williams,17.0,13.0,0.0,+1 Lap,43.0,44
2018,13,Belgian Grand Prix,28,HAR,Toro Rosso,11.0,14.0,0.0,+1 Lap,43.0,44
2018,13,Belgian Grand Prix,2,VAN,McLaren,18.0,15.0,0.0,+1 Lap,43.0,44
2018,13,Belgian Grand Prix,3,RIC,Red Bull Racing,8.0,16.0,0.0,Retired,28.0,44
2018,13,Belgian Grand Prix,7,RAI,Ferrari,6.0,17.0,0.0,Brakes,8.0,44
2018,13,Belgian Grand Prix,16,LEC,Sauber,12.0,18.0,0.0,Accident,1.0,44
2018,13,Belgian Grand Prix,14,ALO,McLaren,15.0,19.0,0.0,Accident,1.0,44
2018,13,Belgian Grand Prix,27,HUL,Renault,20.0,20.0,0.0,Accident,1.0,44
2018,14,Italian Grand Prix,44,HAM,Mercedes,3.0,1.0,25.0,Finished,53.0,53
2018,14,Italian Grand Prix,7,RAI,Ferrari,1.0,2.0,18.0,Finished,53.0,53
2018,14,Italian Grand Prix,77,BOT,Mercedes,4.0,3.0,15.0,Finished,53.0,53
2018,14,Italian Grand Prix,5,VET,Ferrari,2.0,4.0,12.0,Finished,53.0,53
2018,14,Italian Grand Prix,33,VER,Red Bull Racing,5.0,5.0,10.0,Finished,53.0,53
2018,14,Italian Grand Prix,31,OCO,Racing Point,8.0,6.0,8.0,Finished,53.0,53
2018,14,Italian Grand Prix,11,PER,Racing Point,14.0,7.0,6.0,Finished,53.0,53
2018,14,Italian Grand Prix,55,SAI,Renault,7.0,8.0,4.0,Finished,53.0,53
2018,14,Italian Grand Prix,18,STR,Williams,10.0,9.0,2.0,+1 Lap,52.0,53
2018,14,Italian Grand Prix,35,SIR,Williams,12.0,10.0,1.0,+1 Lap,52.0,53
2018,14,Italian Grand Prix,16,LEC,Sauber,15.0,11.0,0.0,+1 Lap,52.0,53
